Time,Real-time vehicle counting
2025-07-22 00:00:00,7
2025-07-22 00:01:00,11
2025-07-22 00:02:00,20
2025-07-22 00:03:00,22
2025-07-22 00:04:00,24
2025-07-22 00:05:00,29
2025-07-22 00:06:00,39
2025-07-22 00:07:00,40
2025-07-22 00:08:00,45
2025-07-22 00:09:00,52
2025-07-22 00:10:00,62
2025-07-22 00:11:00,68
2025-07-22 00:12:00,70
2025-07-22 00:13:00,77
2025-07-22 00:14:00,81
2025-07-22 00:15:00,85
2025-07-22 00:16:00,89
2025-07-22 00:17:00,90
2025-07-22 00:18:00,96
2025-07-22 00:19:00,103
2025-07-22 00:20:00,109
2025-07-22 00:21:00,112
2025-07-22 00:22:00,116
2025-07-22 00:23:00,126
2025-07-22 00:24:00,128
2025-07-22 00:25:00,130
2025-07-22 00:26:00,131
2025-07-22 00:27:00,132
2025-07-22 00:28:00,134
2025-07-22 00:29:00,139
2025-07-22 00:30:00,143
2025-07-22 00:31:00,152
2025-07-22 00:32:00,162
2025-07-22 00:33:00,165
2025-07-22 00:34:00,169
2025-07-22 00:35:00,170
2025-07-22 00:36:00,179
2025-07-22 00:37:00,185
2025-07-22 00:38:00,191
2025-07-22 00:39:00,194
2025-07-22 00:40:00,199
2025-07-22 00:41:00,205
2025-07-22 00:42:00,215
2025-07-22 00:43:00,218
2025-07-22 00:44:00,221
2025-07-22 00:45:00,227
2025-07-22 00:46:00,230
2025-07-22 00:47:00,239
2025-07-22 00:48:00,244
2025-07-22 00:49:00,248
2025-07-22 00:50:00,249
2025-07-22 00:51:00,250
2025-07-22 00:52:00,251
2025-07-22 00:53:00,254
2025-07-22 00:54:00,264
2025-07-22 00:55:00,271
2025-07-22 00:56:00,280
2025-07-22 00:57:00,286
2025-07-22 00:58:00,295
2025-07-22 00:59:00,302
2025-07-22 01:00:00,312
2025-07-22 01:01:00,315
2025-07-22 01:02:00,318
2025-07-22 01:03:00,320
2025-07-22 01:04:00,326
2025-07-22 01:05:00,334
2025-07-22 01:06:00,337
2025-07-22 01:07:00,346
2025-07-22 01:08:00,354
2025-07-22 01:09:00,361
2025-07-22 01:10:00,371
2025-07-22 01:11:00,379
2025-07-22 01:12:00,389
2025-07-22 01:13:00,396
2025-07-22 01:14:00,401
2025-07-22 01:15:00,410
2025-07-22 01:16:00,413
2025-07-22 01:17:00,416
2025-07-22 01:18:00,419
2025-07-22 01:19:00,421
2025-07-22 01:20:00,424
2025-07-22 01:21:00,429
2025-07-22 01:22:00,436
2025-07-22 01:23:00,443
2025-07-22 01:24:00,452
2025-07-22 01:25:00,454
2025-07-22 01:26:00,464
2025-07-22 01:27:00,472
2025-07-22 01:28:00,479
2025-07-22 01:29:00,482
2025-07-22 01:30:00,483
2025-07-22 01:31:00,490
2025-07-22 01:32:00,498
2025-07-22 01:33:00,506
2025-07-22 01:34:00,515
2025-07-22 01:35:00,520
2025-07-22 01:36:00,522
2025-07-22 01:37:00,523
2025-07-22 01:38:00,532
2025-07-22 01:39:00,534
2025-07-22 01:40:00,537
2025-07-22 01:41:00,539
2025-07-22 01:42:00,540
2025-07-22 01:43:00,544
2025-07-22 01:44:00,546
2025-07-22 01:45:00,551
2025-07-22 01:46:00,557
2025-07-22 01:47:00,560
2025-07-22 01:48:00,564
2025-07-22 01:49:00,567
2025-07-22 01:50:00,571
2025-07-22 01:51:00,575
2025-07-22 01:52:00,585
2025-07-22 01:53:00,588
2025-07-22 01:54:00,594
2025-07-22 01:55:00,602
2025-07-22 01:56:00,604
2025-07-22 01:57:00,610
2025-07-22 01:58:00,617
2025-07-22 01:59:00,624
2025-07-22 02:00:00,626
2025-07-22 02:01:00,634
2025-07-22 02:02:00,643
2025-07-22 02:03:00,644
2025-07-22 02:04:00,647
2025-07-22 02:05:00,656
2025-07-22 02:06:00,666
2025-07-22 02:07:00,668
2025-07-22 02:08:00,670
2025-07-22 02:09:00,672
2025-07-22 02:10:00,678
2025-07-22 02:11:00,687
2025-07-22 02:12:00,696
2025-07-22 02:13:00,703
2025-07-22 02:14:00,708
2025-07-22 02:15:00,714
2025-07-22 02:16:00,716
2025-07-22 02:17:00,717
2025-07-22 02:18:00,725
2025-07-22 02:19:00,735
2025-07-22 02:20:00,745
2025-07-22 02:21:00,749
2025-07-22 02:22:00,759
2025-07-22 02:23:00,769
2025-07-22 02:24:00,775
2025-07-22 02:25:00,777
2025-07-22 02:26:00,780
2025-07-22 02:27:00,782
2025-07-22 02:28:00,788
2025-07-22 02:29:00,790
2025-07-22 02:30:00,792
2025-07-22 02:31:00,796
2025-07-22 02:32:00,798
2025-07-22 02:33:00,803
2025-07-22 02:34:00,805
2025-07-22 02:35:00,811
2025-07-22 02:36:00,814
2025-07-22 02:37:00,821
2025-07-22 02:38:00,826
2025-07-22 02:39:00,834
2025-07-22 02:40:00,839
2025-07-22 02:41:00,845
2025-07-22 02:42:00,855
2025-07-22 02:43:00,859
2025-07-22 02:44:00,864
2025-07-22 02:45:00,866
2025-07-22 02:46:00,874
2025-07-22 02:47:00,875
2025-07-22 02:48:00,880
2025-07-22 02:49:00,883
2025-07-22 02:50:00,887
2025-07-22 02:51:00,893
2025-07-22 02:52:00,900
2025-07-22 02:53:00,902
2025-07-22 02:54:00,911
2025-07-22 02:55:00,919
2025-07-22 02:56:00,921
2025-07-22 02:57:00,931
2025-07-22 02:58:00,940
2025-07-22 02:59:00,950
2025-07-22 03:00:00,955
2025-07-22 03:01:00,960
2025-07-22 03:02:00,968
2025-07-22 03:03:00,971
2025-07-22 03:04:00,974
2025-07-22 03:05:00,978
2025-07-22 03:06:00,987
2025-07-22 03:07:00,995
2025-07-22 03:08:00,1000
2025-07-22 03:09:00,1005
2025-07-22 03:10:00,1006
2025-07-22 03:11:00,1016
2025-07-22 03:12:00,1017
2025-07-22 03:13:00,1021
2025-07-22 03:14:00,1030
2025-07-22 03:15:00,1036
2025-07-22 03:16:00,1039
2025-07-22 03:17:00,1043
2025-07-22 03:18:00,1050
2025-07-22 03:19:00,1052
2025-07-22 03:20:00,1059
2025-07-22 03:21:00,1069
2025-07-22 03:22:00,1072
2025-07-22 03:23:00,1080
2025-07-22 03:24:00,1087
2025-07-22 03:25:00,1095
2025-07-22 03:26:00,1104
2025-07-22 03:27:00,1112
2025-07-22 03:28:00,1113
2025-07-22 03:29:00,1122
2025-07-22 03:30:00,1128
2025-07-22 03:31:00,1137
2025-07-22 03:32:00,1142
2025-07-22 03:33:00,1145
2025-07-22 03:34:00,1148
2025-07-22 03:35:00,1150
2025-07-22 03:36:00,1153
2025-07-22 03:37:00,1162
2025-07-22 03:38:00,1165
2025-07-22 03:39:00,1174
2025-07-22 03:40:00,1184
2025-07-22 03:41:00,1191
2025-07-22 03:42:00,1195
2025-07-22 03:43:00,1196
2025-07-22 03:44:00,1202
2025-07-22 03:45:00,1212
2025-07-22 03:46:00,1213
2025-07-22 03:47:00,1216
2025-07-22 03:48:00,1218
2025-07-22 03:49:00,1222
2025-07-22 03:50:00,1225
2025-07-22 03:51:00,1235
2025-07-22 03:52:00,1238
2025-07-22 03:53:00,1247
2025-07-22 03:54:00,1255
2025-07-22 03:55:00,1257
2025-07-22 03:56:00,1259
2025-07-22 03:57:00,1267
2025-07-22 03:58:00,1270
2025-07-22 03:59:00,1274
2025-07-22 04:00:00,1278
2025-07-22 04:01:00,1283
2025-07-22 04:02:00,1287
2025-07-22 04:03:00,1289
2025-07-22 04:04:00,1292
2025-07-22 04:05:00,1294
2025-07-22 04:06:00,1302
2025-07-22 04:07:00,1305
2025-07-22 04:08:00,1313
2025-07-22 04:09:00,1320
2025-07-22 04:10:00,1323
2025-07-22 04:11:00,1331
2025-07-22 04:12:00,1338
2025-07-22 04:13:00,1339
2025-07-22 04:14:00,1340
2025-07-22 04:15:00,1346
2025-07-22 04:16:00,1353
2025-07-22 04:17:00,1355
2025-07-22 04:18:00,1363
2025-07-22 04:19:00,1364
2025-07-22 04:20:00,1369
2025-07-22 04:21:00,1373
2025-07-22 04:22:00,1378
2025-07-22 04:23:00,1382
2025-07-22 04:24:00,1384
2025-07-22 04:25:00,1387
2025-07-22 04:26:00,1395
2025-07-22 04:27:00,1396
2025-07-22 04:28:00,1402
2025-07-22 04:29:00,1404
2025-07-22 04:30:00,1413
2025-07-22 04:31:00,1416
2025-07-22 04:32:00,1424
2025-07-22 04:33:00,1431
2025-07-22 04:34:00,1436
2025-07-22 04:35:00,1437
2025-07-22 04:36:00,1445
2025-07-22 04:37:00,1454
2025-07-22 04:38:00,1462
2025-07-22 04:39:00,1469
2025-07-22 04:40:00,1471
2025-07-22 04:41:00,1479
2025-07-22 04:42:00,1481
2025-07-22 04:43:00,1489
2025-07-22 04:44:00,1493
2025-07-22 04:45:00,1497
2025-07-22 04:46:00,1499
2025-07-22 04:47:00,1501
2025-07-22 04:48:00,1506
2025-07-22 04:49:00,1512
2025-07-22 04:50:00,1514
2025-07-22 04:51:00,1521
2025-07-22 04:52:00,1529
2025-07-22 04:53:00,1533
2025-07-22 04:54:00,1541
2025-07-22 04:55:00,1543
2025-07-22 04:56:00,1547
2025-07-22 04:57:00,1550
2025-07-22 04:58:00,1553
2025-07-22 04:59:00,1559
2025-07-22 05:00:00,1564
2025-07-22 05:01:00,1570
2025-07-22 05:02:00,1572
2025-07-22 05:03:00,1574
2025-07-22 05:04:00,1584
2025-07-22 05:05:00,1591
2025-07-22 05:06:00,1594
2025-07-22 05:07:00,1601
2025-07-22 05:08:00,1608
2025-07-22 05:09:00,1613
2025-07-22 05:10:00,1623
2025-07-22 05:11:00,1632
2025-07-22 05:12:00,1639
2025-07-22 05:13:00,1645
2025-07-22 05:14:00,1648
2025-07-22 05:15:00,1649
2025-07-22 05:16:00,1659
2025-07-22 05:17:00,1665
2025-07-22 05:18:00,1669
2025-07-22 05:19:00,1676
2025-07-22 05:20:00,1680
2025-07-22 05:21:00,1689
2025-07-22 05:22:00,1696
2025-07-22 05:23:00,1698
2025-07-22 05:24:00,1707
2025-07-22 05:25:00,1709
2025-07-22 05:26:00,1712
2025-07-22 05:27:00,1721
2025-07-22 05:28:00,1731
2025-07-22 05:29:00,1737
2025-07-22 05:30:00,1744
2025-07-22 05:31:00,1753
2025-07-22 05:32:00,1754
2025-07-22 05:33:00,1756
2025-07-22 05:34:00,1763
2025-07-22 05:35:00,1771
2025-07-22 05:36:00,1781
2025-07-22 05:37:00,1787
2025-07-22 05:38:00,1788
2025-07-22 05:39:00,1798
2025-07-22 05:40:00,1801
2025-07-22 05:41:00,1802
2025-07-22 05:42:00,1811
2025-07-22 05:43:00,1813
2025-07-22 05:44:00,1816
2025-07-22 05:45:00,1821
2025-07-22 05:46:00,1822
2025-07-22 05:47:00,1829
2025-07-22 05:48:00,1838
2025-07-22 05:49:00,1845
2025-07-22 05:50:00,1850
2025-07-22 05:51:00,1859
2025-07-22 05:52:00,1867
2025-07-22 05:53:00,1872
2025-07-22 05:54:00,1876
2025-07-22 05:55:00,1881
2025-07-22 05:56:00,1887
2025-07-22 05:57:00,1894
2025-07-22 05:58:00,1903
2025-07-22 05:59:00,1907
2025-07-22 06:00:00,1912
2025-07-22 06:01:00,1917
2025-07-22 06:02:00,1922
2025-07-22 06:03:00,1924
2025-07-22 06:04:00,1927
2025-07-22 06:05:00,1930
2025-07-22 06:06:00,1936
2025-07-22 06:07:00,1940
2025-07-22 06:08:00,1947
2025-07-22 06:09:00,1955
2025-07-22 06:10:00,1959
2025-07-22 06:11:00,1967
2025-07-22 06:12:00,1970
2025-07-22 06:13:00,1980
2025-07-22 06:14:00,1985
2025-07-22 06:15:00,1991
2025-07-22 06:16:00,1995
2025-07-22 06:17:00,2003
2025-07-22 06:18:00,2006
2025-07-22 06:19:00,2014
2025-07-22 06:20:00,2017
2025-07-22 06:21:00,2027
2025-07-22 06:22:00,2037
2025-07-22 06:23:00,2045
